Gene,log2FoldChange,p_value,padj
ENSSSCG00000012917,-0.020610842195397026,0.2549880378025668,0.2549880378025668
ENSSSCG00000012918,-0.005919093152182083,0.4737685286489418,0.4737685286489418
ENSSSCG00000012920,-0.025501698587815765,0.09088689750449619,0.09088689750449619
ENSSSCG00000012926,-0.03823101008314081,0.002761890230130342,0.002761890230130342
ENSSSCG00000012927,0.005189232604964179,0.7708491752320787,0.7708491752320787
ENSSSCG00000012933,0.01687197856063654,0.4725459571683879,0.4725459571683879
ENSSSCG00000012934,0.00092316891775075,0.9641039900801002,0.9641039900801002
ENSSSCG00000012939,-0.036888751094325566,0.02592166526487443,0.02592166526487443
ENSSSCG00000012940,0.002447976982944054,0.728602575135076,0.728602575135076
ENSSSCG00000012941,-0.01726859295883896,0.4012388816769016,0.4012388816769016
ENSSSCG00000012942,0.0814515724555829,0.03414299991770919,0.03414299991770919
ENSSSCG00000012943,-2.8566238290481538e-05,0.9991026648201647,0.9991026648201647
ENSSSCG00000012944,0.0006227595043793035,0.9684999926661617,0.9684999926661617
ENSSSCG00000012950,-0.026626902948646714,0.24885825680002263,0.24885825680002263
ENSSSCG00000012952,-0.01096509413944086,0.5761611375351479,0.5761611375351479
ENSSSCG00000012953,-0.04933943719557915,0.01971105430739357,0.01971105430739357
ENSSSCG00000012954,-0.01232195794586872,0.22012319359904792,0.22012319359904792
ENSSSCG00000012955,-0.0010484751162064547,0.9233546894645125,0.9233546894645125
ENSSSCG00000012956,-0.008882421804210203,0.6046648857115164,0.6046648857115164
ENSSSCG00000012957,-0.013290685893027683,0.05203113132422132,0.05203113132422132
ENSSSCG00000012959,-0.013835535069998142,0.6313968041338687,0.6313968041338687
ENSSSCG00000012960,-0.04937368709831673,0.31522967264949636,0.31522967264949636
ENSSSCG00000012961,-0.004172215065321889,0.791084117196915,0.791084117196915
ENSSSCG00000012963,-0.020739091677699967,0.2298661022185293,0.2298661022185293
ENSSSCG00000012964,-0.03313945241145255,0.9121358098378529,0.9121358098378529
ENSSSCG00000012965,-0.0287160586478189,0.10205274826387577,0.10205274826387577
ENSSSCG00000012966,-0.015555407322757767,0.3286890646466256,0.3286890646466256
ENSSSCG00000012967,-0.034331423102982477,0.4577011783657724,0.4577011783657724
ENSSSCG00000012968,0.007987680002926196,0.8232230639660197,0.8232230639660197
ENSSSCG00000012969,-0.014723133587224576,0.2876002288143388,0.2876002288143388
ENSSSCG00000012970,0.00663800415608881,0.9328613924140956,0.9328613924140956
ENSSSCG00000012971,-0.036816643247403205,0.06633347649056852,0.06633347649056852
ENSSSCG00000012973,-0.00668697219328362,0.6861097751533035,0.6861097751533035
ENSSSCG00000012974,-0.002200459588715543,0.40518565329669565,0.40518565329669565
ENSSSCG00000012975,-0.025781359288627567,0.16617601632617868,0.16617601632617868
ENSSSCG00000012977,-0.3241687038228322,0.7171046110968103,0.7171046110968103
ENSSSCG00000012978,-0.011393651507579278,0.4354183966432118,0.4354183966432118
ENSSSCG00000012979,-0.050860404430835865,0.08788307582372114,0.08788307582372114
ENSSSCG00000012980,-0.012718150457053466,0.22085148498839863,0.22085148498839863
ENSSSCG00000012981,-0.0377756492740967,0.059523383498091956,0.059523383498091956
ENSSSCG00000012982,-0.06558312755383813,0.00814166612416985,0.00814166612416985
ENSSSCG00000012983,-0.021505014684250097,0.03783004023131334,0.03783004023131334
ENSSSCG00000012984,-0.009531258911559624,0.5425689191972061,0.5425689191972061
ENSSSCG00000012985,-0.0580782929312537,0.004506349116207126,0.004506349116207126
ENSSSCG00000012986,0.03398142760114355,0.8336749905719214,0.8336749905719214
ENSSSCG00000012988,-0.056865981970458994,0.03195806324261358,0.03195806324261358
ENSSSCG00000012992,-0.023200996880415364,0.17858764670698654,0.17858764670698654
ENSSSCG00000012993,1.5234823781360471,0.01635368651225426,0.01635368651225426
ENSSSCG00000012994,-0.07009469588311139,0.10222910719922117,0.10222910719922117
ENSSSCG00000012995,-0.018245639115577073,0.15273284602359125,0.15273284602359125
ENSSSCG00000012996,0.017130263583196678,0.6195543281693704,0.6195543281693704
ENSSSCG00000012997,-0.0043012950796453555,0.7878199247371549,0.7878199247371549
ENSSSCG00000012998,-0.8746166074861548,0.4724040472306368,0.4724040472306368
ENSSSCG00000012999,-0.02884964908076879,0.0265834510429838,0.0265834510429838
ENSSSCG00000013001,0.01172987732720429,0.23355541012064931,0.23355541012064931
ENSSSCG00000013003,-0.005621681662056599,0.8480044830684739,0.8480044830684739
ENSSSCG00000013004,-0.017479184803676617,0.12216373500914736,0.12216373500914736
ENSSSCG00000013005,-0.007879010226813343,0.5916664466019171,0.5916664466019171
ENSSSCG00000013007,-0.03367496093868789,0.021709878283657467,0.021709878283657467
ENSSSCG00000013008,0.0037098799727965323,0.8628391629727497,0.8628391629727497
ENSSSCG00000013010,-0.036132499877933606,0.10948933917091896,0.10948933917091896
ENSSSCG00000013011,0.01290430331362353,0.5805443364849705,0.5805443364849705
ENSSSCG00000013012,0.006717013935701114,0.724489545209574,0.724489545209574
ENSSSCG00000013015,2.3818241443399444,0.04854508418146275,0.04854508418146275
ENSSSCG00000013016,-0.007619244586567795,0.33864427260601615,0.33864427260601615
ENSSSCG00000013017,0.011031190070135897,0.4734267546434586,0.4734267546434586
ENSSSCG00000013018,0.029297976710336314,0.40562924223467156,0.40562924223467156
ENSSSCG00000013019,-0.013990607206638436,0.2686104940444563,0.2686104940444563
ENSSSCG00000013020,-0.010859829181927367,0.41060106874345015,0.41060106874345015
ENSSSCG00000013021,0.005752537825949894,0.5010550410892152,0.5010550410892152
ENSSSCG00000013022,-0.059341938923398854,0.02127696344455545,0.02127696344455545
ENSSSCG00000013023,-0.011167533393947155,0.6320967364376757,0.6320967364376757
ENSSSCG00000013024,-0.0035776728028952608,0.7723962479294963,0.7723962479294963
ENSSSCG00000013025,0.03697641279320501,0.8920588711220909,0.8920588711220909
ENSSSCG00000013027,-0.002686820397507671,0.902421384134581,0.902421384134581
ENSSSCG00000013028,-0.010503399565036169,0.6059566520448607,0.6059566520448607
ENSSSCG00000013029,-0.0072504833259530894,0.7423132833031362,0.7423132833031362
ENSSSCG00000013030,-0.005486502680648393,0.5956308970238899,0.5956308970238899
ENSSSCG00000013031,-0.005152823887658423,0.7883014857622899,0.7883014857622899
ENSSSCG00000013032,-0.03614851727031627,0.03889656458196134,0.03889656458196134
ENSSSCG00000013033,-0.035551913392876285,0.13558267819016617,0.13558267819016617
ENSSSCG00000013034,-0.035318101495410606,0.08549910049572777,0.08549910049572777
ENSSSCG00000013037,-0.029398230921417117,0.06184228555772034,0.06184228555772034
ENSSSCG00000013038,-0.01439101193374279,0.4852949532721633,0.4852949532721633
ENSSSCG00000013039,-0.044786089566947546,0.07526593449473387,0.07526593449473387
ENSSSCG00000013040,0.026409222989562907,0.3500931795901252,0.3500931795901252
ENSSSCG00000013041,-0.04038192631223664,0.19252870564429103,0.19252870564429103
ENSSSCG00000013042,-0.038542369193696,0.11844692962033446,0.11844692962033446
ENSSSCG00000013043,-0.027752340941313926,0.19850940142517884,0.19850940142517884
ENSSSCG00000013044,0.010621512392408826,0.592539784486606,0.592539784486606
ENSSSCG00000013045,-0.010725528849029485,0.2818320001311422,0.2818320001311422
ENSSSCG00000013046,-0.008888854779018957,0.5537588201936903,0.5537588201936903
ENSSSCG00000013048,-0.0023619719159435875,0.9088118305832518,0.9088118305832518
ENSSSCG00000013049,-0.01900038858151922,0.3059716579441566,0.3059716579441566
ENSSSCG00000013050,-0.0016484138871914935,0.8650501591025449,0.8650501591025449
ENSSSCG00000013051,-2.1913770038656195,0.04894015178512191,0.04894015178512191
ENSSSCG00000013052,0.0030507914111756584,0.27109818897229504,0.27109818897229504
ENSSSCG00000013054,-0.021067825962877162,0.15104843035847906,0.15104843035847906
ENSSSCG00000013056,0.12526341395378354,0.17452513663494512,0.17452513663494512
ENSSSCG00000013057,3.5170310514908403,0.3226980375319831,0.3226980375319831
ENSSSCG00000013060,-0.24962275841570816,0.1809646670680223,0.1809646670680223
ENSSSCG00000013061,-0.01712260625505905,0.41134789748050427,0.41134789748050427
ENSSSCG00000013062,-0.003830435724991021,0.7563643060976907,0.7563643060976907
ENSSSCG00000013063,-0.01676463826354073,0.25663810626681793,0.25663810626681793
ENSSSCG00000013064,-0.016599823775974798,0.07133488362106757,0.07133488362106757
ENSSSCG00000013065,-0.014951470105303795,0.2575182626266722,0.2575182626266722
ENSSSCG00000013066,-0.037306378695597775,0.010061959828521018,0.010061959828521018
ENSSSCG00000013067,-0.828416564003681,0.18558451205603932,0.18558451205603932
ENSSSCG00000013068,-1.7940865395388716,0.13636603556896518,0.13636603556896518
ENSSSCG00000013072,-0.021564258052793776,0.1214844218730811,0.1214844218730811
ENSSSCG00000013073,-0.0035531092513271375,0.881825295504657,0.881825295504657
ENSSSCG00000013074,-0.026038436840458572,0.2835060356852453,0.2835060356852453
ENSSSCG00000013078,-0.03383306353818663,0.19651799941050077,0.19651799941050077
ENSSSCG00000013079,0.009256314124969524,0.4164925155472774,0.4164925155472774
ENSSSCG00000013081,-0.5539583800188125,0.09239158744380928,0.09239158744380928
ENSSSCG00000013082,-0.02594318794882803,0.0963580715631928,0.0963580715631928
ENSSSCG00000013083,0.018358470949219326,0.026269712578616256,0.026269712578616256
ENSSSCG00000013084,0.01781425620809486,0.33880126544761624,0.33880126544761624
ENSSSCG00000013086,-0.06947833171477928,9.771913485747098e-05,9.771913485747098e-05
ENSSSCG00000013087,-0.04956591048691583,0.007106041611872349,0.007106041611872349
ENSSSCG00000013088,0.01889439115768744,0.7897031882851425,0.7897031882851425
ENSSSCG00000013090,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013091,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013092,-0.9276576397843013,0.07165434590257723,0.07165434590257723
ENSSSCG00000013093,-0.03186414538111344,0.35357769661376814,0.35357769661376814
ENSSSCG00000013094,-0.006834760080283055,0.6617364085434687,0.6617364085434687
ENSSSCG00000013095,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013096,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013097,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013098,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013100,-0.007089764205807396,0.8902259802512813,0.8902259802512813
ENSSSCG00000013101,0.2793126963525164,0.09195690195584463,0.09195690195584463
ENSSSCG00000013102,-0.04335529059941193,0.08566376581016559,0.08566376581016559
ENSSSCG00000013105,-0.007204587726228289,0.5893811873736661,0.5893811873736661
ENSSSCG00000013106,-0.05887663202785239,0.023306738279928685,0.023306738279928685
ENSSSCG00000013107,-0.0015472301364478976,0.850250393429427,0.850250393429427
ENSSSCG00000013110,-0.03475689712418899,0.06573560150315977,0.06573560150315977
ENSSSCG00000013111,0.005483881203031733,0.7813675970849445,0.7813675970849445
ENSSSCG00000013113,-0.005942788698718237,0.6837876618200764,0.6837876618200764
ENSSSCG00000013114,0.032287462094337846,0.34798029380597284,0.34798029380597284
ENSSSCG00000013115,-0.02785495487376592,0.46122694682444054,0.46122694682444054
ENSSSCG00000013117,0.3708232479470541,0.07670358218024798,0.07670358218024798
ENSSSCG00000013118,0.006430657914389671,0.6690196477057748,0.6690196477057748
ENSSSCG00000013119,0.036907593505675906,0.022011981743342412,0.022011981743342412
ENSSSCG00000013120,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013122,-0.13325152104985474,0.3483121847993078,0.3483121847993078
ENSSSCG00000013124,-0.00027665896349119394,0.9846677321790992,0.9846677321790992
ENSSSCG00000013125,0.019001458667806975,0.3260536895295697,0.3260536895295697
ENSSSCG00000013132,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013145,0.00878998959807528,0.32500416483110706,0.32500416483110706
ENSSSCG00000013147,0.0027757907155895995,0.9434490128137326,0.9434490128137326
ENSSSCG00000013148,-0.22419167715778054,0.653557081384871,0.653557081384871
