Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
ENSSSCG00000001826	332.93949150137485	-0.09590680548210058	0.07062197845301095	-1.358030567579088	0.17445398493314046	0.4206226950847761	FALSE
ENSSSCG00000003639	1.8949922061814644	-0.09590923346068143	0.3649200359505757	-0.26282260224722565	0.7926873137219705	NA	NA
ENSSSCG00000038285	221.81777278019146	-0.0959209120743565	0.04998068643885242	-1.919159557596482	0.05496414399745842	0.2192122921092598	FALSE
ENSSSCG00000038817	1.3955184607745956	-0.09594119818955221	0.6401743576484622	-0.1498672932511243	0.8808693164403026	NA	NA
ENSSSCG00000038066	39.20178715223113	-0.09594246221194848	0.09749848043517707	-0.9840405900042398	0.3250955558506946	0.5884318135580516	FALSE
ENSSSCG00000016597	199.56007807241693	-0.09597518424529512	0.05783196308244058	-1.659552592196821	0.09700449221465784	0.3027840764029658	FALSE
ENSSSCG00000014955	135.7642289192046	-0.09601047521311439	0.056175532060322504	-1.709115547139211	0.08742954825798224	0.28547500621364447	FALSE
ENSSSCG00000007830	484.37311396230484	-0.09604119464859459	0.048994076677954024	-1.9602613450578703	0.04996525161500944	0.20870402924685152	FALSE
ENSSSCG00000021515	165.01075960856485	-0.09606068846166903	0.09526245926989585	-1.008379262911024	0.31327242428927266	0.5772232137044343	FALSE
ENSSSCG00000031539	1.9531479337208093	-0.09606112841665239	0.35012300706029637	-0.2743639420419728	0.7838049502429025	NA	NA
ENSSSCG00000018084	20498.545196346542	-0.09613087946006627	0.12346012455490694	-0.7786390934452165	0.4361923435193441	0.6828527647656757	FALSE
ENSSSCG00000022168	1149.9234306106428	-0.09625468428019188	0.03787748223430693	-2.541211258044251	0.011046914876671216	0.08865632161754579	FALSE
ENSSSCG00000031997	39.72004908031445	-0.09626650630815901	0.12788692430281953	-0.7527470602093183	0.4516019247107343	0.6948145431087434	FALSE
ENSSSCG00000002808	108.83273425692812	-0.09627022155933197	0.052087897137638645	-1.848226303030522	0.06456961183932264	0.2394620480031573	FALSE
ENSSSCG00000036423	599.8934119688673	-0.09629007891045299	0.03359956484699665	-2.865813273146007	0.0041593950482526065	0.05017792360758494	FALSE
ENSSSCG00000031477	10.69593347859105	-0.09631560335434519	0.16410559914612982	-0.5869123531158726	0.5572625728485836	0.7692966639215086	FALSE
ENSSSCG00000014374	63.86761800120527	-0.0963726751855492	0.1055593823083584	-0.912971192878212	0.36125769244044875	0.6212680552257729	FALSE
ENSSSCG00000017325	255.44528013743857	-0.0964807684502145	0.04161375763183365	-2.318482490906054	0.020423113456142936	0.12421189967061391	FALSE
ENSSSCG00000002389	651.9399164424389	-0.09652301520205114	0.06443459152865715	-1.497999954870867	0.1341332621826177	0.3612782140192814	FALSE
ENSSSCG00000000893	14.434036082112364	-0.09656829365563314	0.15735958099749428	-0.6136791483778217	0.53942736995682	0.7580816713647068	FALSE
ENSSSCG00000038262	402.34477712309354	-0.09657585122920145	0.06708843223652487	-1.4395306017692686	0.1500002460713768	0.3822974130416472	FALSE
ENSSSCG00000008591	158.43215529881363	-0.09658248714200322	0.06223952197255383	-1.551787097346182	0.12071317422638665	0.3396656095288739	FALSE
ENSSSCG00000025590	20.837147973688175	-0.09661757907091587	0.11254995968892291	-0.8584417030264374	0.39064860815518226	0.6457086358766733	FALSE
ENSSSCG00000017057	1.325763636384644	-0.09679543815781697	0.4535533582723845	-0.2134157677202906	0.8310026829292314	NA	NA
ENSSSCG00000034403	10.701315326230686	-0.09680100249152279	0.13711985116090336	-0.7059590691790615	0.4802135918471642	0.7158803193536628	FALSE
ENSSSCG00000038506	599.9352170661048	-0.09682339575270149	0.038799858222318254	-2.4954574627029755	0.01257948367498374	0.09565558867133511	FALSE
ENSSSCG00000011881	101.77426945420724	-0.0968308665003875	0.05759755527424494	-1.6811627861518967	0.09273129965808258	0.29552422839607256	FALSE
ENSSSCG00000004636	556.5050616484563	-0.0968854324726587	0.043168605801165834	-2.2443493523722315	0.02480993249705468	0.13843832635792044	FALSE
ENSSSCG00000033296	8.952547078924518	-0.09692820738328727	0.24054828439609907	-0.40294699098198655	0.6869872211855346	0.8496312354131267	FALSE
ENSSSCG00000016464	251.63932173611883	-0.09699204561645099	0.035984831676096785	-2.695359158255525	0.0070312796011384624	0.0683890162361213	FALSE
ENSSSCG00000013595	534.0359489687089	-0.09703587077766358	0.03920361289573835	-2.4751767403613947	0.013317025568064241	0.098425102587977	FALSE
ENSSSCG00000031610	21.073896212424643	-0.09708993913276337	0.2776089995524625	-0.3497362812058812	0.7265366226443093	0.8697907397994447	FALSE
ENSSSCG00000026301	449.42847932704143	-0.09715676472968084	0.03998910050351758	-2.4295811485215726	0.015116280587506832	0.1052273426656879	FALSE
ENSSSCG00000035045	440.51346028360905	-0.09716682813197527	0.0787362624192993	-1.2340797638390109	0.21717318330777255	0.4728106221985204	FALSE
ENSSSCG00000039025	64.35777132142486	-0.09725225579165864	0.12716604475249396	-0.7647659088630366	0.44441095141287185	0.6888428227737272	FALSE
ENSSSCG00000034942	44.44275698856564	-0.09727895982959378	0.0885894401149681	-1.0980875339470342	0.2721662682653341	0.5365699277057082	FALSE
ENSSSCG00000038220	289.5241151974393	-0.09730324531916687	0.05516643062208686	-1.7638125980224248	0.07776353576505594	0.26736844250122427	FALSE
ENSSSCG00000033591	417.6523702340149	-0.09730390786034146	0.07438240946828248	-1.3081575140669914	0.19081988911523845	0.44141004613975426	FALSE
ENSSSCG00000010477	15.79810164795192	-0.09733601152376062	0.15491610090606026	-0.6283143647075413	0.5297980232867029	0.7524393946031913	FALSE
ENSSSCG00000006631	6.710727653981486	-0.09744074469109938	0.2847164237302234	-0.34223787800673966	0.7321718818547659	0.8731404818338905	FALSE
ENSSSCG00000039194	597.3804427791586	-0.09745596402119315	0.05492317588650933	-1.7744051112880213	0.07599616501543927	0.2637831590634454	FALSE
ENSSSCG00000021852	13.429303239064899	-0.09746443193268702	0.15918713325761744	-0.6122632523004062	0.540363598511379	0.7584829958037047	FALSE
ENSSSCG00000024752	611.0460445590162	-0.09747847581327068	0.06200031586020499	-1.572225471125985	0.11589827029417778	0.332378198095544	FALSE
