Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000014257	10.352288467470634	0.631881189334119	0.2855874059105979	7.57704961987257e-4	0.01741802982313737	TRUE
ENSSSCG00000007659	91.39701173980117	0.6137972807246187	0.13193986135905483	1.3934856762786034e-7	6.406655963787567e-5	TRUE
ENSSSCG00000037272	7.5502067110244875	0.6129416008335061	0.2569207329904074	5.214206384662574e-4	0.013603660824306047	TRUE
ENSSSCG00000022361	3.9614174791089507	0.6031535234838674	0.35269485180537646	0.00204280970404085	NA	NA
ENSSSCG00000025423	30.235431936582117	0.6030534615249968	0.1391036645314791	6.142287053889982e-7	2.025886503948235e-4	TRUE
ENSSSCG00000013101	4.100676660969566	0.5955888599080518	0.3545945289014545	0.0020987849361466214	NA	NA
ENSSSCG00000015930	7.602832995230674	0.5955635372177707	0.34974639267160645	0.0018854400766032003	0.030270790309231483	TRUE
ENSSSCG00000003231	13.257973006322285	0.5916427535186083	0.2635631061508495	6.404941072039829e-4	0.01565288340185832	TRUE
ENSSSCG00000004415	28.470549992609573	0.5836474133477848	0.11664122130461023	2.4650922484731795e-8	1.700017254265231e-5	TRUE
ENSSSCG00000034284	39.518433847053885	0.5802921657596121	0.1456225676687515	2.758056363319824e-6	5.418790208385149e-4	TRUE
ENSSSCG00000005699	25.438835413441428	0.579636165714811	0.34113766576917276	0.0019885095258534765	0.03129633457079766	TRUE
ENSSSCG00000008217	14.910880368144602	0.5758085223770616	0.2531169655840103	6.406828758604018e-4	0.01565288340185832	TRUE
ENSSSCG00000004143	4.409575629939931	0.5750028915310373	0.33837496099307834	0.0019926194866449636	NA	NA
ENSSSCG00000017956	35.17285413691508	0.5699237448891971	0.13623534239021054	1.1880432048685621e-6	3.072319576040303e-4	TRUE
ENSSSCG00000028802	5.928710394251543	0.5662623423754775	0.27605924535937365	0.0010558005637358655	0.021646765071622366	TRUE
ENSSSCG00000008769	7.887531051611419	0.565688077618005	0.4937464535921816	0.003817134901897479	0.04708666005132388	TRUE
ENSSSCG00000009666	689.6271999354802	0.5643601378334953	0.13783104395314202	1.8437241542794243e-6	4.042585689383131e-4	TRUE
ENSSSCG00000006374	2.053855879199246	0.5617682639155465	1.204386690520603	0.0050889334515227085	NA	NA
ENSSSCG00000035297	1196.4964605823177	0.5481377552264222	0.4750586198931803	0.0038729123473787556	0.04751126158340077	TRUE
ENSSSCG00000011713	240.7028841277168	0.5454106870019735	0.1112874520299824	4.274186791591829e-8	2.494152384693509e-5	TRUE
ENSSSCG00000004024	423.24727881319126	0.5394011551796155	0.10912501770299146	3.479794683566562e-8	2.1998102057946616e-5	TRUE
ENSSSCG00000007800	16.651031440741445	0.5375410293931113	0.17527821999949167	7.659817745706631e-5	0.004705407678697798	TRUE
ENSSSCG00000010184	712.2437394155407	0.534250295868346	0.12626387532857145	9.139686117150899e-7	2.7314090248025275e-4	TRUE
ENSSSCG00000003905	12.988213358411064	0.5330400368363436	0.19952959113395968	2.4051695209715624e-4	0.008857095138878774	TRUE
ENSSSCG00000001203	11.823895426007631	0.5295284857967636	0.16890141032105724	6.457396640411307e-5	0.004259635731666102	TRUE
ENSSSCG00000010908	103.88347786269547	0.5214905933513975	0.1375214519661875	6.106336891052221e-6	9.358115485964071e-4	TRUE
ENSSSCG00000000660	227.86364965780618	0.5211557925860875	0.23982000305778517	8.557233655435732e-4	0.01896033788212262	TRUE
ENSSSCG00000009012	9.955226689319371	0.5158128131357229	0.3006769682384151	0.002031454730602289	0.03177446512649271	TRUE
ENSSSCG00000035847	25.14197897204328	0.5134096646870513	0.200261618407121	3.2854594265634986e-4	0.010789391865762209	TRUE
ENSSSCG00000034846	41.84967849041886	0.509474571392004	0.43245839776038647	0.00364946201487316	0.04591180571281558	TRUE
ENSSSCG00000039407	21.073316855287416	0.508991941895792	0.17262732657137092	1.0966791969511606e-4	0.005718990255600256	TRUE
ENSSSCG00000033364	8.427267540074705	0.5052244513344362	0.28260297466910594	0.0018638941630708251	0.03008404493841549	TRUE
ENSSSCG00000032299	8.458254060510692	0.5035564882567426	0.23202675880878768	8.793846285031369e-4	0.019336450394003238	TRUE
